,userid,name,username
0,487833518,Nature Portfolio,NaturePortfolio
1,17089636,News from Science,NewsfromScience
2,32372834,Science Magazine,ScienceMagazine
3,19562228,Russell Brand,rustyrockets
4,29472803,NASA Webb Telescope,NASAWebb
5,72862939,HIRO MIZUNO,hiromichimizuno
6,34719119,Walter Isaacson,WalterIsaacson
7,1605,Sam Altman,sama
8,18989355,Mike Solana,micsolana
9,300878435,Dilbert,Dilbert_Daily
